ordinal,source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,human_action,tiers_tried,reason
7534,6838,"ALUM-HOLLOW-2""X1""-3",PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 4921 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (ALUM-HOLLOW-2""X1""-3|PCS), parent position 4921 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7535,7379,PVC-STRAPPING-APPLE GREEN,KGS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 6809 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PVC-STRAPPING-APPLE GREEN|KGS), parent position 6809 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7536,7380,PVC-STRAPPING-GREEN,KGS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 6810 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PVC-STRAPPING-GREEN|KGS), parent position 6810 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7537,7741,IND-SCP-WOO50,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 7582 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (IND-SCP-WOO50|PCS), parent position 7582 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7538,7322,STR-NYL-MIX,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 6735 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (STR-NYL-MIX|PCS), parent position 6735 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7539,7150,PAI-SPR-ANC-006,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 6911 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PAI-SPR-ANC-006|PCS), parent position 6911 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7540,7152,PAI-SPR-ANC-029,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 6897 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PAI-SPR-ANC-029|PCS), parent position 6897 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7541,7722,PAI-SPR-ANC-004,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 7149 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (PAI-SPR-ANC-004|PCS), parent position 7149 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7542,6671,TOO-FIL-SLIM-STA-125MM,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 6092 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (TOO-FIL-SLIM-STA-125MM|PCS), parent position 6092 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7543,7418,"FAS-SCR-TD-HRW 525-1""",PCK,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 4526 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (FAS-SCR-TD-HRW 525-1""|PCK), parent position 4526 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
7544,7038,MAR-PEN-BLACK,PCS,reject,,,,,,,unknown,"merge-time: inherit official image from parent position 6707 once parent reaches verified_pass; if parent exhausts, reopen this child for independent tier2-4 sourcing",2,"action=duplicate_listing; declared duplicate child of item_code+uom (MAR-PEN-BLACK|PCS), parent position 6707 outside chat-09 block; no independent sourcing permitted (would create divergent asset for identical SKU); q:dup-resolution: parent lookup via global first-owner scan of loop-ledger.csv; p:n/a (no page opened - inheritance row); tier2 short-circuit per duplicate_listing protocol"
