source_position|item_code|uom|display_name|category|detected_brand|detected_model|prior_page|prior_image|prior_problem
2541|BAT-CHA-KENDE-SM1212|UNIT|Kende Battery Charger 12V|Electrical||12AMP-SM1212|https://www.suiumachinery.com.my/showproducts/productid/4797799/cid/467542/kende-sm1212-612v-portable-battery-inverter-charger-212a/|https://cdn1.npcdn.net/images/f943283aec8e5551a94e1b64d8a07115_1704511396.webp?md5id=a7a0da96b4c16537050114ceed8368c9&new_width=1000&new_height=1000&size=max&w=1694400547&from=jpeg&type=9|gate-fail
2533|NUM-PUNC-50730080|SET|Nietz 0-9 Number Punches 8MM 50730080|Signage & Numbering|Nietz||https://nietz.com.my/product/0-9-number-punches-font-german-pointed/|https://nietz.com.my/wp-content/uploads/2024/06/92_50730030-until-50730120.png|gate-fail
2522|FAN-TAB-KDK-KB-304|PCS|Kdk Table Fan 12|Fans & Ventilation|||https://www.kdk.com.my/product/kb-304/|https://www.kdk.com.my/wp-content/uploads/2020/07/product-thumbnail_Table-Fans-KB-304.png|gate-fail
3061|SWI-S/SKT-LWD-4013-13A|PCS|NNE 13A S/skt (sr)|Electrical||813/S|https://www.homepro.com.my/p/1007443|https://statice.homepro.co.th/homepromy/ART_IMAGE/10/074/1007443/1000x1000/09052025_1007443$Imagec1.jpg|verify-fail/disagree
3252|SWI-PLU-MK-654-13A|PCS|Mk 654 Whi 13A Plug Top 3PIN|Electrical||3PIN|https://www.sierraplus.com.my/mk-654-13amp-plug-top-sirim-white|https://www.sierraplus.com.my/image/sponline/image/cache/data/all_product_images/product-806/mk-654-13amp-plug-top-sirim-white-1200x1200.jpg|gate-fail
2773|CUT-BLA-ECL-1218T|PCS|Eclipse Hacksaw Blade - 12MM X 18T Predator|Hand Tools||18T|https://camdentools.com/en-US/product/eclipse-aa45e-pred-pb-bimetal-hss-hacksaw-blades-18tpi-pack-of-100-TLS-ECL-AA45E-PRED-PB-EN_US|https://assets.r2.camdentools.com/media/58e4bcfa-8c48-4a99-9bd2-5e265dbe2d65-large.webp|gate-fail
2884|ELE-T5-4FT-CIELO-D/L|PCS|Cielo T5 LED Fitting 4FT 18W DL-860|Plumbing||4FT|https://cimalighting.com.my/product/cielo-gen2-t5-led-batten-2ft-3ft-4ft-10w-14w-18w-sirim-cetificated|https://cdn1.sgliteasset.com/eluxelig/images/product/product-5938586/klRotFIO6772683db025f_1735551038.jpg|gate-fail
3872|PIP-UPVC-5255-1.1/2"|MTR|1 1/2"(40MM) X 6M Upvc Pipe|Plumbing||BS5255|https://unimechengineering.com.my/product/upvc-pipe-2/|https://unimechengineering.com.my/wp-content/uploads/2022/03/UPCV-Pipe-BS4255-1.jpg|gate-fail
4349|SWI-LAM-HOL-SE220E-E27|PCS|E27 Battern Holder - White|Electrical||E27|https://www.sierraplus.com.my/se-220-e27-batten-lamp-holder-socket-light-bulb-holder-c-w-base-white|https://www.sierraplus.com.my/image/sponline/image/cache/data/all_product_images/product-1110/se-220-e27-batten-lamp-holder-socket-light-bulb-holder-c-w-base-white-a-900x900.jpg|gate-fail
3533|ELE-D/L-HOME-2103-18W-6500K|PCS|Hermanns Downlite -rd -6500K|Electrical||6500K|https://www.lazada.com.my/products/led-panel-light-downlight-18-watt-6inch-6500k-daylight-i1345104588.html|https://img.lazcdn.com/g/p/913f605ee2364fad2b7df5d308af70cf.jpg|verify-fail/disagree
3999|FAS-RIV-PAT-1/8"X1/2"-PCK|PCK|Blind Rivet: Jaguar 1/8 X 1/2 (20PCS/PCK)|Fasteners & Fixings||20PCS/PCK|https://soongwung.com/product/jaguar-blind-rivet/|https://soongwung.com/wp-content/uploads/2024/02/C72.png|verify-fail/disagree
3623|CUT-DIS-MARK-12300-P024|PCS|Mr. Mark P24 Master Fibre Disc - Blk|Abrasives & Cutting||P24|https://www.mrmarks.com/index.php?ws=showproducts&products_id=2160710|https://cdn1.npcdn.net/image/156084571199cb84b713796168898828c90a9038f9.jpg?md5id=40a115d736494ae0bf5b6b65c715868d&new_width=1000&new_height=1000&w=1534135529|verify-fail/disagree
3343|CUT-ELE-EFM430|PCS|Gold Elephant Flexible Grinding Disc|Abrasives & Cutting||EFM-430|https://m.djhardware.com.my/index.php?ws=showproducts&products_id=3308430|https://cdn1.npcdn.net/images/16139647540e968fbe3cbc80073cdae67763457cf4.png|gate-fail
4524|FAS-RIV-PAT-1/8"X1/4"-PCK|PCK|Blind Rivet: Jaguar 1/8 X 1/4 (20PCS/PCK)|Fasteners & Fixings||20PCS/PCK|https://soongwung.com/product/jaguar-blind-rivet/|https://soongwung.com/wp-content/uploads/2024/02/C72.png|verify-fail/disagree
3863|FAS-RIV-PAT-1/8"X3/4"-PCK|PCK|Blind Rivet: Jaguar 1/8 X 3/4 (20PCS/PCK)|Fasteners & Fixings||20PCS/PCK|https://soongwung.com/product/jaguar-blind-rivet/|https://soongwung.com/wp-content/uploads/2024/02/C72.png|verify-fail/disagree
5009|PIP-UPVC-5255-1.1/4"|MTR|1 1/4"(32MM) X 6M Upvc Pipe|Plumbing||BS5255|https://unimechengineering.com.my/product/upvc-pipe-2/|https://unimechengineering.com.my/wp-content/uploads/2022/03/UPCV-Pipe-BS4255-1.jpg|gate-fail
4257|FAS-RIV-PAT-1/8"X5/16"-PCK|PCK|Blind Rivet: Jaguar 1/8 X 5/16 (20PCS/PCK)|Fasteners & Fixings||20PCS/PCK|https://soongwung.com/product/jaguar-blind-rivet/|https://soongwung.com/wp-content/uploads/2024/02/C72.png|verify-fail/disagree
2868|SPO-SCOTCH-BRITE-3M|PCK|3M Scotch Brite 31B 3PCS Scouring Pad (KH1578-6)|Other||31B|https://www.homepro.com.my/p/1031600|https://statice.homepro.co.th/homepromy/ART_IMAGE/10/316/1031600/1000x1000/09052025_1031600$Imagec1.jpg|gate-fail
3223|ELE-T5-4-CIELO-W/W|PCS|Cielo T5 LED Fitting 4FT 18W WW-830|Plumbing||4FT|https://cimalighting.com.my/product/cielo-gen2-t5-led-batten-2ft-3ft-4ft-10w-14w-18w-sirim-cetificated|https://cdn1.sgliteasset.com/eluxelig/images/product/product-5938586/bTvNUfqm678492d232a63_1736741586.jpg|gate-fail
