source_position,source_item_code,source_uom,source_product_name,category,detected_brand,detected_model,manufacturer,exact_model,manufacturer_part_number,source_url,source_type,candidate_image_asset_url,image_asset_status,exact_match_reasoning,sibling_variant_elimination,identity_confidence,image_confidence,classification,rights_status,rights_note,ambiguities,gemini_visual_review,source_preservation_note,research_notes_file
83,ELE-CAB-WIR-MKK-2.5MM-RED,ROLL,MKK Cable 2.5MM (7/0.49MM) Red,Electrical,MKK,7/0.49MM,MKK,2.5mm cable 7/0.49mm red,,NOT_PRESERVED,discovery only,NOT_PRESERVED,not preserved,"Source identifies MKK 2.5MM cable, 7/0.49MM, red, but no manufacturer/product page or exact image was preserved.",Black sibling Product 87 and generic 2.5mm cable are not substituted.,LOW,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.","Exact MKK part number, conductor standard, insulation rating and image missing.",NO,No exact source preserved.,
84,FAN-CEI-DEKA-CGNL54MB12,UNIT,Deka Ceiling Fan Geno Matt Black,Fans & Ventilation,Deka,54LED,Deka,GENO 54,GENO 54,https://deka.my/geno-54/,official Malaysian manufacturer family page,https://deka.my/geno-54/,base non-LED family asset only,"Official Deka page identifies GENO 54, 54-inch, Matt Black option, 40W DC inverter motor, 24 speeds and LED Power N/A.",Source code CGNL54MB12 / detected 54LED suggests an LED variant; non-LED base page image cannot be used as exact LED evidence.,MEDIUM,MEDIUM,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Source 54LED/CGNL54MB12 vs official base Geno 54 LED Power N/A.,NO,Official family page preserved; exact source variant and image not proven.,products_51_100_deka_notes.md
85,KHI-HDR-HD515,SET,Hair Dryer 1800W (matt Black),Home Appliances,Khind,KHIND-HD1800,Khind,HD1800,HD1800,https://khind.com.my/products/1800w-hair-dryer,official Malaysian manufacturer product page,https://khind.com.my/cdn/shop/files/hd1800-wh-cover_280521152043.jpg?v=1751809539,exact official asset,"Official Khind page exactly identifies Hair Dryer HD1800, 1800W, 240V~50Hz, Matt Black, 1.8m cable, 0.5kg net weight, folded/unfolded dimensions.",HD1400 is a separate 1400W sibling; exact HD1800 title and black asset match source display.,HIGH,HIGH,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Ekoway item code HD515 is an internal code; manufacturer model is HD1800.,YES,Exact official page/image preserved; rights not implied.,products_51_100_khind_notes.md
86,OVEN-RUB-TAE13-M503,UNIT,Rubine M/wave Oven RMO-OREO-28BL,Home Appliances,Rubine,RMO-OREO-28BL,Rubine,RMO-OREO-28BL,RMO-OREO-28BL,https://www.rubine.com.my/product/RMO-OREO-28BL,official Malaysian manufacturer product page,https://www.rubine.com.my/files/product_img/IM01815.jpg,exact official asset,"Official page exactly identifies RMO-OREO-28BL built-in microwave with grill, 28L, 8 auto menus, electronic control/LCD, child lock, stainless-steel cavity and 595x400x388mm.",RMO-934SS-GD34 is a separate 34L sibling; exact 28BL model/image matches source.,HIGH,HIGH,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Internal Rubine code RUB-TAE13-M503 maps to exact manufacturer model.,YES,Exact official page/image preserved; rights not implied.,products_51_100_rubine_notes.md
87,ELE-CAB-WIR-MKK-2.5MM-BLACK,ROLL,MKK Cable 2.5MM (7/0.49MM) Black,Electrical,MKK,7/0.49MM,MKK,2.5mm cable 7/0.49mm black,,NOT_PRESERVED,discovery only,NOT_PRESERVED,not preserved,"Source identifies MKK 2.5MM cable, 7/0.49MM, black, but no manufacturer/product page or exact image was preserved.",Red sibling Product 83 and generic 2.5mm cable are not substituted.,LOW,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.","Exact MKK part number, conductor standard, insulation rating and image missing.",NO,No exact source preserved.,
88,MIR-SWBC-SS6811,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6811,Bathroom,Saniware,SWBC-SS6811,Saniware,SWBC-SS6811,SWBC-SS6811,https://saniware.com/?s=SWBC-SS6811,official site negative search,NOT_PRESERVED,not preserved,"Source row identifies Saniware SWBC-SS6811 bathroom cabinet set, but official Saniware search/likely product URL returned No Results/404.",SWBC-SS6414 and other cabinet sets are not substituted.,LOW,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Exact cabinet/tap/basin component list and image missing.,NO,Official negative search/404 evidence preserved; no exact asset.,products_51_100_saniware_notes.md
89,SPR-BID-SWP-SS-304-6875-BA,PCS,Saniware Premier Two Way Tap With Bidet SET&1.2M Flex. Hose,Bathroom,Saniware,SET&1.2M,Saniware,SWP-SS-304-6875-BA,SWP-SS-304-6875-BA,https://www.htrendskb.com.my/showproducts/productid/6246533/cid/387813/saniware-two-way-tap-with-bidet-black-swpss3046875ba/,dealer / Tier-2,NOT_PRESERVED,not preserved,"H Trends exact listing identifies Saniware Two Way Tap With Bidet (Black), exact SKU SWP-SS-304-6875-BA, Hand Bidet and Two Way Bib Tap categories.",Saniware two-way tap siblings such as SWP-SS-304-68A are distinct; exact SKU is preserved but image is not.,HIGH,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",No direct exact image URL exposed; official Saniware page returned 404.,NO,Exact dealer text preserved; image/rights gate remains open.,products_51_100_saniware_notes.md
90,TAP-SAN-SWP-SS-304-3950,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap,Kitchen & Sinks,Saniware,SWP-SS-304-3950,Saniware,SWP-SS-304-3950,SWP-SS-304-3950,https://www.gsthardware.com.my/product/saniware-flexible-hose-kitchen-pillar-tapgun-metal-swp-ss-304-3950-gm/,authorized/dealer series listing,NOT_PRESERVED,not preserved,GST Hardware exact-series listing identifies base SWP-SS-304-3950 as stainless-steel option in the Saniware 3950 flexible-hose kitchen pillar tap series.,"GM, MB and RG option codes are separately enumerated; source base stainless variant is not confused with them.",HIGH,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",No exact direct image URL exposed; official Saniware page returned 404.,NO,Exact series/variant text preserved; image/rights gate remains open.,products_51_100_saniware_notes.md
91,TAP-SAN-SWP-B-3213-G,PCS,Saniware Premier Tall Basin Cold Tap (gold),Bathroom,Saniware,SWP-SS-304-3213-G,Saniware,SWP-SS-304-3213-G,SWP-SS-304-3213-G,https://www.hengshenghardware.com.my/showproducts/productid/6519703/cid/653991/saniware-tall-basin-cold-tap-swpss3043213g-saniware-products-in-selangor/,dealer / Tier-2,https://cdn1.npcdn.net/images/ae00ee05e540a1bfa5317d407c20f63e_1778769104.webp?md5id=aa669fe24aabb489080c05a96e7f594b&new_width=1000&new_height=1000&size=max&w=1784295513&from=png&type=9,exact dealer asset; not rights-cleared,"Heng Sheng exact listing identifies Saniware SWP-SS-304-3213-G Tall Basin Cold Tap, Gold finish, SUS304, 2 sets/box and 40/carton.",Official Saniware base page SWP-SS-304-3213 has stainless variant images; those are not substituted for source gold variant.,HIGH,HIGH,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Gold exact page/image is dealer-only; manufacturer page exists only for base stainless model.,YES,Exact dealer model/image preserved; no manufacturer image or rights clearance.,products_51_100_saniware_notes.md
92,BATH-SRTBF31514,PCS,Sorento 5IN1 Bath Furn,Bathroom,Sorento,5IN1,Sorento,SRTBF31514,SRTBF31514,https://www.zhinheng.com.my/showproducts/productid/6040406/cid/205566/sorento-5-in-1-bathroom-furniture-srtbf31514srtmcb6083bl/,dealer / Tier-2,NOT_PRESERVED,not preserved,"Zhin Heng exact listing identifies Sorento 5-in-1 bathroom furniture SRTBF31514 + SRTMCB6083-BL, cabinet L580xW460xH400mm, basin SRTWB1160, tap SRTWT5831 and pop-up waste SRTW2600.",Official catalogue’s SRTBF31416 set is a different cabinet model; exact SRTBF31514 package is preserved only through dealer.,HIGH,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",No direct exact image URL exposed; mirror cabinet + package components differ from other furniture families.,NO,Exact dealer text preserved; image/rights gate remains open.,products_51_100_sorento_notes.md
93,FAN-CEI-DEKA-CF66DC66MB12,UNIT,Deka Ceiling Fan F66 DC Matt Black,Fans & Ventilation,Deka,F66,Deka,F66 DC,F66 DC,https://deka.my/f66-dc/,official Malaysian manufacturer family page,https://deka.my/f66-dc/,base non-LED family asset only,"Official Deka page identifies F66 DC, 66-inch, Matt Black option, 50W DC inverter motor, 24 speeds and LED Power N/A.",Source code CF66DC66MB12 may denote a separate LED/speed variant; base non-LED image is not substituted.,MEDIUM,MEDIUM,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Source CF66DC66MB12 vs official base F66 DC; possible LED/variant suffix.,NO,Official family page preserved; exact source variant and image not proven.,products_51_100_deka_notes.md
94,JOV-WAT-FIL-JP200,PCS,Joven (red) Water Purifier,Home Appliances,Joven,JP200,Joven,JP200,JP200,https://www.joven-electric.com/my/jp200-water-purifier.html,official Malaysian manufacturer product page,https://www.joven-electric.com/my/jp200-water-purifier.html,official white asset; source red variant unresolved,Official Joven page exactly identifies JP200 inline water purifier and its filtration/specification system.,Official visible asset is white; source row explicitly says red. A dealer claim of white/red availability is not enough to substitute the white asset.,HIGH,MEDIUM,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Source red vs official white asset; red model-specific SKU/image not proven.,NO,Official JP200 identity preserved; exact red image/variant remains unavailable.,products_51_100_joven_notes.md
95,KHI-HDR-HD511-GRE,SET,Hair Dryer 1400W (matt Grey),Home Appliances,Khind,KHIND-HD1400,Khind,HD1400,HD1400,https://khind.com.my/products/khind-hair-dryer-hd1400,official Malaysian manufacturer product page,https://khind.com.my/cdn/shop/files/HD1400_1_HiRes_1a611a78-9046-49f7-96cd-f0af17337545.jpg?v=1751809409,exact official model asset; finish/source-code gap,"Official Khind page exactly identifies Hair Dryer HD1400, 1400W, foldable handle, 473g, 1.8m cable and 240V~50Hz.",HD1800 is a separate 1800W sibling; official page does not establish source item code HD511-GRE as a manufacturer SKU or explicitly preserve Matt Grey in text.,MEDIUM,HIGH,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Ekoway HD511-GRE / Matt Grey vs official HD1400 model; exact finish/internal-code mapping needs confirmation.,NO,"Official exact model/image preserved, but source-code/finish alias blocks fail-closed candidate status.",products_51_100_khind_notes.md
96,SHO-SOR-SRTWT9605RG,PCS,Sorento Exposed Shower Set 2WAYS SRTWT9605-RG,Bathroom,Sorento,2WAYS,Sorento,SRTWT9605-RG,SRTWT9605-RG,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,official manufacturer catalogue/PDF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,catalogue page crop required for asset harvest,"Official catalogue p.62 names SRTWT9605-RG 2-Ways Exposed Shower Set, ABS rain shower head 220mm, 5-functions ABS hand shower, solid-brass body, push-button diverter and Rose Gold finish.","Same page siblings SRTWT9600HP Chrome, SRTWT9608 and SRTWT9610-GM; exact RG model/finish isolate source.",HIGH,MEDIUM,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",,YES,Exact PDF URL/page/crop and siblings recorded; visual crop review required.,products_51_100_sorento_notes.md
97,SHO-SOR-SRTWT9614,PCS,Sorento Shower Set,Bathroom,Sorento,3WAYS-EXPOSED,Sorento,SRTWT9614,SRTWT9614-01-01,https://sorento.com.my/result/bidet__or__bottle-trap__or__exposed-shower-set__or__free-standing-basin__or__seat-cover__or__shaving-mirror__or__under-counter-basin__or__wall-mounted/colours/Chrome__or__White,official manufacturer result page,NOT_PRESERVED,not preserved,"Official result names SRTWT9614-01-01 / SRTWT9614, 3 Ways-Exposed Shower Set, ABS rain shower head 225mm, 3-functions ABS hand shower and 1.5M PVC flexible hose.",SRTWT9615 is a separate 2-way set; exact finish/image for source row was not exposed.,HIGH,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Exact image and full finish/color fields not exposed.,NO,Rendered official text preserved; direct image harvesting not preserved.,products_51_100_sorento_notes.md
98,TAP-SAN-SWP-SS-304-3939,PCS,Saniware Premier Double Spout Kitchen Pillar Sink Tap,Kitchen & Sinks,Saniware,SWP-SS-304-3939,Saniware,SWP-SS-304-3939,SWP-SS-304-3939,https://saniware.com/?s=SWP-SS-304-3939,official site negative search,NOT_PRESERVED,not preserved,"Source identifies Saniware Premier Double Spout Kitchen Pillar Sink Tap SWP-SS-304-3939, but official search and likely product URL returned No Results/404.",3950 flexible-hose series and other tap models are not substituted.,LOW,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.","Exact double-spout product page, dimensions, finish and image missing.",NO,Official negative search/404 evidence preserved; no exact asset.,products_51_100_saniware_notes.md
99,X-GAS-STO-RUB-TAE10-M372,UNIT,Rubine Glass Hob RGH-ALLORA2B-BL,Kitchen & Sinks,Rubine,RGH-ALLORA2B-BL,Rubine,RGH-ALLORA2B-BL,RGH-ALLORA2B-BL,https://www.rubine.com.my/product/RGH-ALLORA2B-BL,official URL checked; content unavailable,NOT_PRESERVED,not preserved,"Search/dealer discovery indicates Rubine ALLORA2B black two-burner gas hob, matching source model string, but current official URL returned only a navigation shell without product model/image/specs.",FIGATA2B-BL and other Rubine gas-hob siblings are not substituted.,MEDIUM,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Exact official page/image inaccessible; exact burner/spec variant not preserved.,NO,Official URL checked; extraction returned 0 and HTML had no product content. Mark PENDING.,products_51_100_rubine_notes.md
100,FAN-FLO-KHI-FF2005,PCS,20 Ind Floor Fan Black,Fans & Ventilation,Khind,KHIND-FF2005,Khind,FF2005,FF2005XXXXBKKD,https://khind.com.my/products/20-industrial-floor-fan,official Malaysian manufacturer product page,https://khind.com.my/cdn/shop/files/ssmy.zone-1731060431-FF2005_WH.jpg?v=1751808994,exact official asset,"Official Khind product JSON exactly identifies KHIND 20” Industrial Floor Fan FF2005, vendor KHIND Malaysia, official SKU FF2005XXXXBKKD and exact image asset.",No sibling substitution; official image/title match 20-inch black floor fan source row. Leaflet asset also preserved at https://cdn.shopify.com/s/files/1/0921/1566/5177/files/npd014124-ff2005-20--industrial-floor-fan-leaflet-fa_081124155539.jpg.,HIGH,HIGH,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Short source model FF2005 maps to official SKU FF2005XXXXBKKD; page currently sold out.,YES,Exact official page/JSON/image/leaflet URLs preserved; rights not implied.,products_51_100_khind_notes.md
